vol,storage,enfs,state,array,token
z-andy,100g,yes,absent,10.226.224.180,T-62824b9d-edd7-41ca-b218-c754aba6356c
parsonsvdb17,100g,yes,present,10.226.224.180,T-62824b9d-edd7-41ca-b218-c754aba6356c
parsonsvdb18,100g,yes,present,10.226.224.180,T-62824b9d-edd7-41ca-b218-c754aba6356c
parsonsvdb19,100g,yes,present,10.226.224.180,T-62824b9d-edd7-41ca-b218-c754aba6356c
parsonsvdb20,100g,yes,present,10.226.224.180,T-62824b9d-edd7-41ca-b218-c754aba6356c
parsonsvdb21,100g,yes,present,10.226.224.180,T-62824b9d-edd7-41ca-b218-c754aba6356c
parsonsvdb22,100g,yes,present,10.226.224.180,T-62824b9d-edd7-41ca-b218-c754aba6356c
parsonsvdb23,100g,yes,present,10.226.224.180,T-62824b9d-edd7-41ca-b218-c754aba6356c
parsonsvdb24,100g,yes,present,10.226.224.180,T-62824b9d-edd7-41ca-b218-c754aba6356c
parsonsvdb25,100g,yes,present,10.226.224.180,T-62824b9d-edd7-41ca-b218-c754aba6356c
